[walletnow, 21:34, https://www.coingecko.com/en/coins/walletnow/, https://bscscan.com/token/0x56aa0237244c67b9a854b4efe8479cca0b105289, 19,217, 4,840]
[bsc33dao, 21:31, https://www.coingecko.com/en/coins/bsc33dao/, https://bscscan.com/token/0x25559A80e1f6E0D6Db28848003716a555727Ca55, 13,973, 870]
[spywolf, 15 hours, https://www.coingecko.com/en/coins/spywolf/, https://bscscan.com/token/0xc2d0f6b7513994a1ba86cef3aac181a371a4ca0c, 17,283, 2,571]
[chi, 15 hours, https://www.coingecko.com/en/coins/chi/, https://bscscan.com/token/0x15146B447F72F3733E81fa3e6602b34471C96F64, 10,185, 1,197]
[binance-peg-firo, 16 hours, https://www.coingecko.com/en/coins/binance-peg-firo/, https://bscscan.com/token/0xd5d0322b6bab6a762c79f8c81a0b674778e13aed, 10,847, 5,783]
[shining-crystal-shard, 16 hours, https://www.coingecko.com/en/coins/shining-crystal-shard/, https://bscscan.com/token/0xbde9f504d0f3ea0cb1c7d1661fcc941b61613ace, 9,257, 1,294]
[cake-girl, 16 hours, https://www.coingecko.com/en/coins/cake-girl/, https://bscscan.com/token/0xdc9a806e3304abf847aa6bf09b0d8883f20a5c08, 25,732, 2,998]
[buffed-kishu, 16 hours, https://www.coingecko.com/en/coins/buffed-kishu/, https://bscscan.com/token/0x5df2a4e44c25532326d5aad71c19a9976784320f, 23,803, 5,169]
[babyethereum, 16 hours, https://www.coingecko.com/en/coins/babyethereum/, https://bscscan.com/token/0xa9a86dc63be528f4c5d3ab28941a4a7120806d5e, 45,114, 6,817]
[toyshiba, 16 hours, https://www.coingecko.com/en/coins/toyshiba/, https://bscscan.com/token/0x6d050f273d1588af26f61bf58f4d98effb3dba82, 6,421, 3,037]
[nickel-token, 16 hours, https://www.coingecko.com/en/coins/nickel-token/, https://bscscan.com/token/0x8a660e26de13178d7847cf6061a360fdf987e697, 3,819, 700]
[sherlock-wallet, 17 hours, https://www.coingecko.com/en/coins/sherlock-wallet/, https://bscscan.com/token/0xab896775c35ff4522fD285F7A7aCBDAACa1FaDd9, 2,752, 1,069]
[wakanda-inu, 17 hours, https://www.coingecko.com/en/coins/wakanda-inu/, https://bscscan.com/token/0x5344C20FD242545F31723689662AC12b9556fC3d, 118,033, 46,107]
[uplink, 17 hours, https://www.coingecko.com/en/coins/uplink/, https://bscscan.com/token/0xd09942f1b144ba90d3917b3024ec34b5a08e2133, 24,155, 6,091]
[flokibonk, 17 hours, https://www.coingecko.com/en/coins/flokibonk/, https://bscscan.com/token/0x9d3e14b607b2f569cfafe29af71e811d7e575cfe, 13,033, 3,531]
[easy-finance-token, 17 hours, https://www.coingecko.com/en/coins/easy-finance-token/, https://bscscan.com/token/0x2eb198ab1a678f3a67f55219e8b408c9b713e825, 6,086, 1,172]
[bang-decentralized, 19 hours, https://www.coingecko.com/en/coins/bang-decentralized/, https://bscscan.com/token/0x76ba1ce2c05049ee943f7e087128786f4f9eb077, 2,204, 720]
[kurai-inu, 19 hours, https://www.coingecko.com/en/coins/kurai-inu/, https://bscscan.com/token/0x70C82588FCc570cd4885CA50b8d34c225f431EE8, 42,811, 4,907]
[poordoge, 19 hours, https://www.coingecko.com/en/coins/poordoge/, https://bscscan.com/token/0x4a5eb6574Fe68c55362fc73b9EA76953d837985B, 32,835, 2,544]
[shibanaut-token, 19 hours, https://www.coingecko.com/en/coins/shibanaut-token/, https://bscscan.com/token/0x1bdfc4b955ab96ab0abf5e76c09ea9ed537055ed, 14,990, 1,877]
[tezilla, 20 hours, https://www.coingecko.com/en/coins/tezilla/, https://bscscan.com/token/0x5778a155fa82063c5c1e48771caa44ea4d8a5d7a, 58,046, 3,540]
[betswamp, 20 hours, https://www.coingecko.com/en/coins/betswamp/, https://bscscan.com/token/0x749f031FDa3a4904b026f2275A697096492a129d, 7,680, 908]
[wealthsecrets, 20 hours, https://www.coingecko.com/en/coins/wealthsecrets/, https://bscscan.com/token/0xB7DAcf54a54bFea818F21472d3E71a89287841A7, 12,280, 4,182]
[crypto-media-network, 20 hours, https://www.coingecko.com/en/coins/crypto-media-network/, https://bscscan.com/token/0x2dFBedC45A8a1FA0A14CAcacC0c1cbd88946326c, 581, 59]
[pulsepad, 20 hours, https://www.coingecko.com/en/coins/pulsepad/, https://bscscan.com/token/0x8a74BC8c372bC7f0E9cA3f6Ac0df51BE15aEC47A, 132,349, 30,971]
[martiandoge, 20 hours, https://www.coingecko.com/en/coins/martiandoge/, https://bscscan.com/token/0x738B9658f84b009F5Dd6ca2A5846422edFa7D562, 6,036, 2,230]
[animeinu, 20 hours, https://www.coingecko.com/en/coins/animeinu/, https://bscscan.com/token/0x3024b8c63e5cb9ce99a9609c2df87cd5c1be21a9, 4,341, 1,013]
[wolf-girl, 21 hours, https://www.coingecko.com/en/coins/wolf-girl/, https://bscscan.com/token/0x7a3e66dad59b99404dc28d48767b7528301318f6, 14,911, 2,265]
[shiba-maki, 1 day, https://www.coingecko.com/en/coins/shiba-maki/, https://bscscan.com/token/0x40d6F307cd6869262cAA82907a80bDA3317B9501, 32,820, 3,330]
[melonx, 1 day, https://www.coingecko.com/en/coins/melonx/, https://bscscan.com/token/0xF28709f1daa6CEE2847C5B9526ceba457331742b, 12,055, 1,782]
[metaaxis, 1 day, https://www.coingecko.com/en/coins/metaaxis/, https://bscscan.com/token/0x19d3a7c26a1271eebb6f04bdb4565b7f2b7efc30, 16,566, 7,093]
[slittle-rabbit, 1 day, https://www.coingecko.com/en/coins/slittle-rabbit/, https://bscscan.com/token/0xea3cc71354d4c6e654ac6b4ee3e6052811a2eec5, 32,162, 3,965]
[dogebnb-org, 1 day, https://www.coingecko.com/en/coins/dogebnb-org/, https://bscscan.com/token/0xa591588aC622303C730a85EEa4Eb8C20FE7ef82A, 80,934, 52,515]
[king-of-shiba, 1 day, https://www.coingecko.com/en/coins/king-of-shiba/, https://bscscan.com/token/0x22918b2b01b1809d95cac26b3861de9dd5ee7806, 22,711, 3,937]
[contracto, 1 day, https://www.coingecko.com/en/coins/contracto/, https://bscscan.com/token/0x559100c4c697ad514340943625bceeff8605cdc3, 6,530, 2,296]
[matrix-protocol, 1 day, https://www.coingecko.com/en/coins/matrix-protocol/, https://bscscan.com/token/0xe28832f94aa99d3ed4c61ef805330168556b4179, 18,512, 3,776]
[vikings-inu, 1 day, https://www.coingecko.com/en/coins/vikings-inu/, https://bscscan.com/token/0xc3583c8328ecb4dc8751c7e4fe7bcc18e558a4b6, 50,342, 41,080]
[dappsy, 1 day, https://www.coingecko.com/en/coins/dappsy/, https://bscscan.com/token/0x81e07cff8a9331ef2a837b15a3560fb186bf5e8d, 8,163, 2,876]
[optimuscat,  1 day, https://www.coingecko.com/en/coins/optimuscat/, https://bscscan.com/token/0x6A7A68397b47ECaab4Bb3acD7c710Be8e906E4cE, 23,137, 3,408]
[moontimer, 1 day, https://www.coingecko.com/en/coins/moontimer/, https://bscscan.com/token/0xe5bb16faceafea96c3e1c97b3c20f0edfe94a9c3, 30,035, 1,011]
[gainpool, 1 day, https://www.coingecko.com/en/coins/gainpool/, https://bscscan.com/token/0xaac073847e989c6d9d2f115a69e57a024415c684, 6,770, 664]
[bithashex, 1 day, https://www.coingecko.com/en/coins/bithashex/, https://bscscan.com/token/0x81cA302d88d089dD42E80e81623f84f9730e94FE, 8,484, 4,360]
[latteswap, 1 day, https://www.coingecko.com/en/coins/latteswap/, https://bscscan.com/token/0xa269a9942086f5f87930499dc8317ccc9df2b6cb, 141,098, 1,447]
[d-skyscraper, 1 day, https://www.coingecko.com/en/coins/d-skyscraper/, https://bscscan.com/token/0x26646b7C71f19BC9440612CaAaB465c26f4E8F7c, 13,107, 2,023]
[gamma-token, 1 day, https://www.coingecko.com/en/coins/gamma-token/, https://bscscan.com/token/0x51cb2cff2dc93291cc3a56d74dec731d5a9d3162, 23,301, 3,516]
[zodiacs, 1 day, https://www.coingecko.com/en/coins/zodiacs/, https://bscscan.com/token/0x5649e392a1bac3e21672203589adf8f6c99f8db3, 97,193, 8,150]
[baby-santa-token, 1 day, https://www.coingecko.com/en/coins/baby-santa-token/, https://bscscan.com/token/0xfccf3229063b1aa16af6b9b5de1b7e0c1bfe4046, 24,965, 4,298]
[pidao, 1 day, https://www.coingecko.com/en/coins/pidao/, https://bscscan.com/token/0x1215Ed20aa507578ca352E195016F289e7A17f3A, 30,648, 754]
[nanometer-bitcoin, 1 day, https://www.coingecko.com/en/coins/nanometer-bitcoin/, https://bscscan.com/token/0x5ddb331c3ba48a1d68cbf50dd3bc7aac407dc115, 258,757, 28,793]
[1nft, 1 day, https://www.coingecko.com/en/coins/1nft/, https://bscscan.com/token/0x24e211001794e1d8fa9da70babf6f6c0c9d3879a, 19,273, 15,633]
[metadoge, 1 day, https://www.coingecko.com/en/coins/metadoge/, https://bscscan.com/token/0x31e7ddebc4b4c1a9ba91a761390445f887354b25, 40,322, 4,764]
[phoenix-global, 2 days, https://www.coingecko.com/en/coins/phoenix-global/, https://bscscan.com/token/0x0409633A72D846fc5BBe2f98D88564D35987904D, 7,821, 1,017]
[infinity-eth, 2 days, https://www.coingecko.com/en/coins/infinity-eth/, https://bscscan.com/token/0x16F761F89967A1dFC8E851a48904FB0c177bB373, 29,006, 2,433]
[alien-shiba-inu, 2 days, https://www.coingecko.com/en/coins/alien-shiba-inu/, https://bscscan.com/token/0x66eb97542e35FB514ab378253386792eA6536FB6, 22,021, 2,632]
[meta-inu, 2 days, https://www.coingecko.com/en/coins/meta-inu/, https://bscscan.com/token/0xe66a2b4b2b592a986cf65d8377aa77b045f0be96, 50,383, 3,356]
[doge-king, 2 days, https://www.coingecko.com/en/coins/doge-king/, https://bscscan.com/token/0x01db446F7C6d20ce1FcA421B4397dA789fbb21F1, 18,736, 9,933]
[cryptodrop, 2 days, https://www.coingecko.com/en/coins/cryptodrop/, https://bscscan.com/token/0xec6ca5a04b08e382d218de9cb30c9d8176406d34, 29,521, 5,298]
[olympia, 2 days, https://www.coingecko.com/en/coins/olympia/, https://bscscan.com/token/0x79395a77c8ddbefb74f242242960cac7368fd64e, 19,698, 2,053]
